destination_id,post_title,submitted_by,country,region,continent,activity_type,difficulty_level,best_time_to_visit,avg_trip_duration_days,estimated_cost_usd,avg_rating,total_reviews,total_saves,total_views,images_count,post_status,submission_date,approval_date,latitude,longitude,description_summary,accessibility,accommodation_type,nearest_major_city,distance_from_major_city_km,is_hidden_gem,environmental_sensitivity,tags
D016,Sossusvlei Pink Salt Pan,T024,Namibia,Hardap Region,Africa,Photography & Scenery,Easy,May–August,3,550,4.7,28,95,1700,12,Approved,2025-07-08,2025-07-10,-24.7276,15.3419,"A salt pan that turns vivid pink at sunrise due to algae. Two hours from the Sossusvlei crowds and completely empty.",Easy,Lodge,Sesriem,130,TRUE,Medium,"salt pan,photography,pink lake,Namibia,sunrise"
D017,Phi Phi Bamboo Island Dive,T018,Thailand,Krabi Province,Asia,Beach & Coastal,Easy,November–April,3,200,4.4,61,132,4600,8,Approved,2025-02-09,2025-02-11,7.7402,98.7784,"A tiny private island 20 min by longtail from Phi Phi. No hotels, no bars — just a pristine reef and a rope swing.",Easy,Boat/Day trip,Phi Phi Don,20,TRUE,High,"diving,island,reef,Thailand,snorkelling"
D018,Transylvania Saxon Villages Walk,T028,Romania,Sibiu County,Europe,Historical Sites,Easy,May–October,6,250,4.5,53,115,3700,8,Approved,2024-09-22,2024-09-24,45.9432,24.1465,"A walking trail linking seven fortified Saxon churches in villages that time forgot. Horses still outnumber cars.",Easy,Guesthouse,Sibiu,40,TRUE,Low,"Saxon,churches,Romania,Transylvania,walking"
D019,Orinoco Delta Canoe Route,T011,Venezuela,Delta Amacuro State,South America,Rainforest Exploration,Moderate,January–March,8,380,4.6,21,72,1100,11,Approved,2025-08-14,2025-08-16,8.7492,-61.3831,"Paddling through waterways inside the Orinoco Delta with Warao indigenous guides. No tourist infrastructure at all.",Difficult,Indigenous lodge,Tucupita,45,TRUE,Very High,"rainforest,canoe,indigenous,delta,Venezuela"
D020,Kyushu Onsen Village Trail,T015,Japan,Oita Prefecture,Asia,Spa & Hot Springs,Easy,October–March,5,700,4.7,84,175,6100,10,Approved,2025-03-01,2025-03-03,33.2440,131.3500,"A hiking trail linking five tiny onsen villages in the mountains of Oita. Some baths are free and completely unvisited.",Easy,Ryokan,Beppu,38,TRUE,Low,"onsen,Japan,hot springs,hiking,ryokan"
D021,Atacama Salt Flat Sunrise Hike,T004,Chile,Antofagasta Region,South America,Hiking & Trekking,Moderate,April–October,3,180,4.8,45,140,3900,9,Approved,2024-11-05,2024-11-07,-23.6509,-67.9533,"A 4am pre-dawn hike across the salt flats to watch flamingoes wake under a blood-red sky. No guides, no groups.",Moderate,Hostel,San Pedro de Atacama,12,TRUE,High,"salt flat,flamingoes,sunrise,Chile,Atacama"
D022,Moroccan Draa Valley Palmerie,T009,Morocco,Draa-Tafilalet Region,Africa,Cultural Exploration,Easy,October–April,4,220,4.4,58,128,4200,7,Approved,2025-04-20,2025-04-22,30.9167,-5.5833,"A 150km valley of kasbahs and date palm oases entirely overlooked because it lies between two famous tourism hubs.",Easy,Riad,Ouarzazate,50,TRUE,Low,"palmerie,kasbah,Morocco,oasis,culture"
D023,Lapland Reindeer Migration Route,T016,Finland,Lapland,Europe,Nature & Wildlife,Challenging,September–October,10,1500,4.9,12,55,780,13,Approved,2025-09-12,2025-09-14,68.9222,27.5183,"Following Sami herders on reindeer migration routes over unmarked tundra. A deeply immersive cultural experience.",Very Difficult,Sami tent (lavvu),Inari,60,TRUE,Very High,"reindeer,Sami,migration,Lapland,Arctic"
D024,Bohol Chocolate Hills Night Trek,T022,Philippines,Bohol Province,Asia,Adventure Sports,Moderate,March–May,3,150,4.3,69,148,5300,8,Approved,2024-06-17,2024-06-19,9.8000,124.1667,"A moonlit trek up the Chocolate Hills after tourist hours. Locals know a route that gives you the summit to yourself.",Moderate,Guesthouse,Tagbilaran,50,TRUE,Medium,"Chocolate Hills,Philippines,night trek,adventure,nature"
D025,Ethiopian Simien Mountains Cliff Village,T002,Ethiopia,Amhara Region,Africa,Cultural Exploration,Challenging,October–December,7,300,4.7,30,90,1650,9,Approved,2025-01-02,2025-01-04,13.2500,38.3000,"A village of 200 people living on a cliff edge at 3,600m. Accessible by a two-day trek. No phone signal. No tourists.",Difficult,Homestay,Gondar,80,TRUE,High,"Ethiopia,cliff village,Simien,trekking,culture"
D026,New Zealand Overland Track Huts,T026,New Zealand,Fiordland,Oceania,Hiking & Trekking,Moderate,November–April,9,600,4.8,27,98,2000,11,Approved,2025-05-10,2025-05-12,-45.4153,167.7197,"Lesser-known DOC huts on side routes off the Milford Track. You'll have the alpine lake to yourself.",Difficult,DOC Hut,Te Anau,80,TRUE,High,"hiking,huts,New Zealand,Fiordland,alpine"
D027,Silk Road Caravanserai Camp,T027,Uzbekistan,Samarkand Region,Asia,Ancient Trade Routes,Easy,April–June,4,250,4.6,42,112,3000,8,Approved,2024-07-28,2024-07-30,39.6542,66.9597,"Sleeping in a restored 15th-century caravanserai on the actual Silk Road. Run by a family of five generations of traders.",Easy,Caravanserai,Samarkand,35,TRUE,Low,"Silk Road,Uzbekistan,caravanserai,history,culture"
D028,Azores Whale Watching Cove,T023,Portugal,Pico Island,Europe,Nature & Wildlife,Moderate,April–October,4,400,4.7,49,125,3500,9,Approved,2025-06-22,2025-06-24,38.4667,-28.3333,"A hidden cove where sperm whales surface daily at low tide. Locals use a centuries-old lookout tower — no tour boats.",Moderate,Quinta (farmhouse),Madalena,12,TRUE,Very High,"whale watching,Azores,nature,sperm whale,Portugal"
D029,Cappadocia Underground Church Network,T021,Turkey,Nevşehir Province,Asia,Historical Sites,Moderate,March–November,4,300,4.5,56,120,4100,10,Approved,2024-10-08,2024-10-10,38.6431,34.8289,"A network of 36 underground Byzantine churches below Derinkuyu. Most remain unlocked and unvisited since the 1980s.",Moderate,Cave hotel,Göreme,30,TRUE,Medium,"underground,Byzantine,Cappadocia,Turkey,history"
D030,Patagonia Estancia Gaucho Trail,T011,Argentina,Santa Cruz Province,South America,Rural & Farm Stays,Moderate,November–March,8,500,4.8,20,78,1300,12,Approved,2025-02-25,2025-02-27,-50.3300,-72.2600,"A horse-back trail staying at working cattle estancias managed by gaucho families. No roads, no Wi-Fi, no tourists.",Difficult,Estancia (ranch),El Calafate,90,TRUE,Medium,"gaucho,Patagonia,horses,ranch,Argentina"
